Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
3455,39.0,39.51207651159021,1.0,19.50458357714063,5.0,66.16382162233691,11.0,55.897149245388476,17.0,50.844922984896066,5.0,25.910763331087733,0.0,0.0,,
3456,236.0,172.05931672037445,12.0,147.80145338095824,21.0,172.39963878170923,81.0,260.6345324666967,103.0,214.4493025192588,19.0,81.3077713111948,0.0,0.0,,
3457,173.0,101.31415587153599,3.0,30.73140749846343,16.0,111.99776004479911,54.0,138.5539077333607,61.0,102.83556424694022,25.0,82.34790342237886,14.0,77.53225895774492,,
3458,145.0,110.78004431201772,4.0,54.74952094169176,21.0,190.54532256601036,54.0,195.4680373561138,57.0,119.74538350034663,7.0,30.778701138811943,2.0,13.705201123826493,0.0,0.0
3459,493.0,137.67873100983022,32.0,149.17024053701286,82.0,264.57587197109024,142.0,178.13907392771569,171.0,136.17143266681,49.0,80.64781592547483,17.0,42.94339050698461,,
3460,490.0,343.1036172924223,33.0,345.47738693467335,77.0,566.5513943050548,149.0,394.6079080484123,185.0,372.63827901542925,43.0,208.7986792269593,3.0,25.702535983550376,,
3461,99.0,111.75959269837328,6.0,131.14754098360655,9.0,130.718954248366,28.0,147.97590106754043,34.0,110.79249217935349,16.0,96.07878460337477,6.0,55.248618784530386,,
3462,20.0,35.133330991111265,2.0,70.3482237073514,3.0,65.55944055944056,5.0,42.42321398269133,9.0,46.77268475210477,1.0,8.619946556331351,0.0,0.0,,
4011,949.0,167.2072859385544,30.0,89.87148377819717,130.0,300.71013855797923,318.0,215.67656653757723,337.0,177.41604325371546,118.0,131.6538174028495,16.0,25.02893971154147,0.0,0.0
4012,167.0,146.95141803718664,3.0,42.88777698355968,43.0,446.24325446243256,51.0,186.07026888978072,60.0,162.3200952277892,8.0,40.33071183706392,2.0,15.621338748730766,0.0,0.0
5111,993.0,159.67787842290358,51.0,136.69623951325417,126.0,261.47046006349996,323.0,200.8718959695023,346.0,156.87839204182214,117.0,130.2068842716761,30.0,46.03345097437471,0.0,0.0
5112,1181.0,236.82236918622138,33.0,108.17189497492379,118.0,286.9580019941149,418.0,339.48687127924825,445.0,262.5740517831433,123.0,154.18170878459688,43.0,78.64079445490957,1.0,20.052698491636022
5113,1005.0,172.45521312375593,26.0,75.39947220369457,145.0,319.4465863276861,350.0,244.58078852846222,367.0,188.2756108697102,96.0,99.13975607489182,20.0,29.401387745501587,1.0,17.159722698881186
5114,532.0,233.93150028361995,24.0,185.35681186283597,47.0,256.1587093961195,184.0,351.29252739699876,199.0,254.13122876918754,74.0,191.84900964430156,4.0,14.889261120416899,0.0,0.0
5116,351.0,134.46524207574492,3.0,19.743336623889437,40.0,191.47917663954044,136.0,217.10673350148463,127.0,142.33359857442255,35.0,78.16862088218872,6.0,21.197668256491784,4.0,153.236743106262
5117,324.0,189.88231984621876,17.0,174.82517482517483,40.0,296.40607632456465,106.0,288.40398323991946,119.0,204.88627950620685,34.0,112.54924029262803,8.0,35.76378023157048,,
5119,391.0,185.51555294072992,16.0,133.79045070658083,68.0,414.1543333942384,127.0,266.616282487299,129.0,176.74622530348287,47.0,123.9876539953043,4.0,16.76516199337776,,
5120,312.0,280.2277748836875,15.0,231.69601482854495,29.0,316.490232456619,82.0,334.87156450361414,125.0,321.48552029216603,44.0,233.37222870478413,17.0,126.13147351239056,0.0,0.0
5122,283.0,177.71358598386135,14.0,151.76151761517616,40.0,303.37504740235113,96.0,267.40947075208913,101.0,180.59255815616785,25.0,96.25009625009625,7.0,36.77629505096144,0.0,0.0
5124,847.0,238.5243593353985,45.0,210.51646706586826,101.0,339.6899068375206,274.0,313.0212260378824,289.0,241.23941968981117,103.0,181.7347730961959,35.0,87.53720331140735,0.0,0.0
5154,514.0,164.49842382346822,26.0,151.05740181268882,76.0,299.3894031908607,156.0,216.26117695986693,198.0,179.68799629733826,42.0,76.05802140490032,13.0,40.22152779926364,3.0,96.01075320435889
5158,1027.0,211.50400560166403,47.0,170.5431982292536,123.0,308.93655498066005,288.0,295.5665024630542,379.0,222.3369431310204,124.0,144.9224547993876,64.0,98.86918371130199,2.0,41.18870605679923
5162,586.0,129.9314644783784,24.0,94.06165988414807,98.0,274.92782324751505,171.0,164.18778119413318,216.0,139.37512922367418,56.0,74.33807160539838,19.0,37.31146187027583,2.0,44.7886618167789
5166,406.0,135.8481980037676,20.0,125.61236025624922,46.0,195.32908704883226,126.0,202.85281901020704,159.0,146.95009242144178,45.0,83.18237273096972,9.0,25.729723548414764,1.0,33.460147291568376
5170,804.0,174.79172826408333,16.0,65.260839417547,107.0,301.9187358916478,221.0,232.7908569020909,321.0,199.70013873249513,103.0,116.42891054190311,36.0,64.42722408146464,,
5314,609.0,184.72850369912004,31.0,157.3923639317628,82.0,290.64615602736325,206.0,219.3659684581554,212.0,193.41124522173868,64.0,139.68004539601475,13.0,40.09004841644309,1.0,30.333087635323487
5315,2717.0,249.75571372498192,98.0,151.27892437597444,349.0,415.67908145642514,833.0,273.2186667716246,1029.0,266.6321176394377,333.0,224.62511888942103,66.0,65.95580960756293,9.0,82.73100565052768
5316,416.0,254.07838562502673,25.0,258.96001657344107,44.0,319.8836786623046,132.0,361.12934996717007,144.0,249.60565772824185,52.0,200.03077396522542,19.0,94.61680195209402,0.0,0.0
5334,972.0,174.49813832747483,34.0,114.11310622587682,139.0,335.23056145089714,335.0,213.09212576888092,327.0,182.92887591044877,104.0,115.19461243658758,33.0,55.445411472159684,,
5358,463.0,174.95597759958886,24.0,157.6976148235758,64.0,295.8169632539866,137.0,228.4437478114422,154.0,168.37225575089653,57.0,118.78712097530479,27.0,95.19108729375264,0.0,0.0
5362,830.0,176.5623105411954,42.0,157.92608914247612,117.0,314.9065349628945,242.0,222.92731390321177,336.0,208.00510935894707,80.0,101.88645329633906,13.0,24.492618059498184,0.0,0.0
5366,405.0,209.13372165076217,12.0,110.25358324145535,48.0,304.85868529691965,112.0,272.16835556851595,153.0,222.26096051599407,65.0,181.03328227266397,15.0,70.97903752425117,0.0,0.0
5370,396.0,154.95685860186651,18.0,124.79201331114808,50.0,238.93720730192106,125.0,223.03108161153338,157.0,172.31160963188972,42.0,91.4534567229178,4.0,14.749262536873156,0.0,0.0
5374,724.0,265.71635146492656,16.0,103.7968983595073,59.0,273.97291237600086,219.0,348.0581722433191,271.0,289.4435123620159,105.0,230.7148558507321,42.0,136.52146859406082,12.0,444.81798062913117
5378,405.0,142.87982219399905,18.0,112.24656569659197,43.0,191.9376768048291,127.0,194.02049349900102,155.0,159.13378422461972,54.0,114.05548724469612,8.0,24.996419903246487,,
5382,712.0,118.71019373770382,40.0,117.88341013752256,72.0,151.8855355827107,198.0,142.95561442059397,299.0,145.07548225112097,89.0,88.83918653469654,13.0,19.196555955469407,1.0,16.83950781953383
5512,151.0,128.43958661166164,4.0,62.97229219143577,19.0,213.93987163607702,51.0,198.9001989001989,62.0,150.8662643566284,14.0,63.33122229259025,0.0,0.0,1.0,85.05932888189511
